,Section,Header,Date,Title,Information
0,"Abroad, Ghanaians","Diasporia News of Friday,  3 June 2022",2022-06-03,I'm unhappy; my husband and kids were excluded from the visa lottery - US-based Ghanaian,"US-based Ghanaian Comfort Boampong has revealed that after winning the US visa lottery, she realised that her husband and kids were excluded from the application. 

According to her, the lottery agent added other people as her family instead of her own. She revealed that she lived unhappily for years, and loneliness may have been the cause of her husband’s death.

In a chat on SVTV Africa’s Daily Hustle Worldwide, the widow revealed that she never for once saw her ‘family’ after she arrived in the US. Moreover, she tried countless times to file for her husband and kids to join her, but it was not successful.

“Initially, I didn’t want to go because I had to leave without any of my six children or my husband. I got the visa in May, but I left in August. They had to convince me first. Living in America has been sad for me,” she disclosed. 

Miss Boampong added that her husband had stroke seven months after she left Ghana, but he got better. 

“We were very close. My husband and I went everywhere together. He could not join me before his death because there were errors in some of the documents. He died a few months after they denied him,” she added. 

According to the 68-year-old, her last born is the only one living with her, “but the others are still in the pipeline. There is no joy in my life at the moment.”"
1,"Abroad, Ghanaians","Diasporia News of Wednesday,  1 June 2022",2022-06-01,Nana Antwi Agyei Brempong II partners Mayor of Markt Murnau to develop Atwima community,"The Mayor of Markt Murnau a Staffelsee, in Bavaria-Germany, Mr. Rolf Beuting, has affirmed his council's commitment to collaborate with Atwima in the Atwima Kwanwoma District, to deepen the partnership between Atwima Murnau.  

He said Atwima and Murnau would work together to develop more projects and figure out strategies and ideas that would impact positively on them

Among key areas he said would be considered were the area of health,  education, exchange programs, firefighting, infrastructural development, and sharing of culture and tradition.

Mayor Beuting was speaking at the Municipal Council at Markt Murnau a Stafelsee, when their sister town Atwima, led by Atwima hene, Nana Antwi Agyei Brempong II, called on them.

The visit was aimed at deliberating on how best the two cities could work together to bring rapid development to their communities and also letting each other know about the developmental projects that were already in place.

The visit was also to enable the team from Atwima witness the famous Oberammergau Passion Play of the Passion of Jesus,  a special play shown every 10 years, which seeks to convey the message of passion, death, and resurrection of Jesus Christ.

The play was in appreciation to God for healing Bavaria and Swabia from an Infectious disease that struck them in 1631

The first visit was in 2019 when Nana Antwi Brempong and Mr. Beuting signed a sister-partnership agreement between the two towns, which was characterized by a cultural festival.

Mr Beuting further noted that the COVID-19 Pandemic and the recent war between Ukraine and Russia has brought some sort of hardship but notwithstanding, they could still do more to ensure mutual benefits and development.

Nana Antwi Brempong also outlined some developmental projects he had embarked on under his leadership as the Atwima hene.

He mentioned the recent construction of a Health facility to be used as a maternal health center to help curb maternal mortality rates, an Information Communication and Technology (ICT) center for school children, and a market for the community to improve the livelihoods of the people, particularly women.

He also mentioned the creation of a website to showcase all activities of Atwima for their friends in Murnau to follow, the commissioning of a fire station in the community, and the installation of a water machine at the Akenten Appiah Minka College of Technology Education.

Nana Brempong also mentioned his Afforestation project christened River Run Indigenous Tree Plantation (RRITP), which is being implemented by ""Ashan Tree"" a nonprofit organization he has established.

Close to 5000 different tree species have been planted along the banks of Rivers and were bodies at Atwima.

This project is being supervised technically by the Forestry Commission  (FC).

According to the Atwima hene, this move was his contribution towards climate change and saving the next generation from its negative effects.

Additionally, he has ordered all households to plant trees in front of their houses and he has taken the lead as leadership by example.

He said he is also constructing a modern Research hub and Hospitality center for the Partnership, called Murnau House.

The Murnau house which is about 80 percent complete would also serve as a special place for their Partnership activities.

In a related development,  the Murmau friends led by Mr. Beuting, the Mayor, took Atwimahene Nana Antwi Brempong and his entourage to a Germeindwerke,  Murnau to see a Solar System Poschger Aliee, to witness how solar is used to transmit power In the area.

They also visited a State of the art hospital called the Berufsgenossenschafliche Unfallklinic in  Murnau where they were received by Dr. Matthias Richer Turtur, an Orthopaedic Thoracic Surgeon, and his team.

Nana Antwi Brempong promised to send young nurses from Atwima to work with the hospital as interns to share experiences and assist them.

They also visited the Company Bauer Maschinen und Technologie at Weiheim in Oberbayern  which produces water with a State of the Arts Technology and the
 Barbara Kronner Scholaden Manufaktur.

Others were the James Loeb Elementary School and the Emmanuel Von Seidl Elementary School.

The Atwima team was also taken to the Staffelsee Lake and the museum in the Castle of Murnau.

The team also visited the Fire station. The Murnau council however donated a Fire Van to Atwima.

This is to help the new Fire Station at Atwima fight fire outbreaks effectively.  

The Fire Bridge Murnau took the Atwima team through ways of rescuing accident victims in vehicles.



"
2,"Abroad, Ghanaians","Diasporia News of Wednesday,  1 June 2022",2022-06-01,Turkey is not a place for hustlers; the currency is depreciating - Woman reveals,"Turkey-based Ghanaian Agatha has disclosed that Turkey is not a place for working immigrants to stay because the currency’s value has dropped.

In a chat on SVTV Africa, Agatha, however, mentioned that Turkey is best for people who wish to transact import and export business. She indicated that the Turkish economy keeps receding and will not encourage people to travel there for work.

“Turkey was good some eight years when I came here, but now, the economy keeps receding. It’s getting worse. So I don’t think I can stay here anymore,” she said on Daily Hustle Worldwide.

According to her, many Ghanaians are stranded in Turkey because the travel agents lie to them. Many of them do not have working permits. They live on the streets and in ghettos. 

“But it is good if you come here for business. If you want to import clothes or other products to Ghana, you're good. Factory employees work 12 to 14 hours a day, but the salary is not enough,” she told DJ Nyaami.

Miss Agatha advised the youth who plan to travel for work to change their mindset about working in Ghana. According to her, many jobs are available, but the income is not favorable. 

“Some people have jobs and live well, but they still want to travel. Such persons shouldn't travel unless for business. Turkey is not the place to stay and work,” Agatha opined."
3,"Abroad, Ghanaians","Diasporia News of Sunday,  5 June 2022",2022-06-05,"Ghana is expensive; I spent more than GH¢15,000 in three weeks - UK based Ghanaian","UK-based Ghanaian, Kwame Case has revealed that he spent over GH¢15,000 on his three-week visit to Ghana this year.

In an interview on Daily Hustle Worldwide, Kwame sympathized with Ghanaians who make GH¢1500 monthly, and complained about the high cost of living in Ghana, presently.

According to Kwame, he bought a pack of rice for GH¢25 in 2021, but he could not finish it. In 2022, Kwame Case said he bought the same pack for GH¢40, and he was not satisfied. 

“I came to Ghana with a budget but I overspent. Fuel, water, everything is expensive. I don’t know whether it is the air that they pump as fuel for us these days. I spent GH¢400 on fuel almost every day. 

Ghana is expensive. I feel sorry for some people living in Ghana because some are doing well, but what about those making GH¢1500 a month with a family of four. How will they survive?,” Kwame quizzed.

Moreover, Kwame stated that he could never survive on a GH¢15,000 salary in Ghana at this rate. He mentioned that Ghana has become a place for the rich.

“Ghana is a good place to live if you own a company. If you live on hand-to-mouth, then you better find a way out.” 

""I can’t survive on GH¢15,000 monthly in Ghana. Maybe it is because I don’t live there but I spend a lot whenever I visit Ghana,” he told DJ Nyaami."
4,"Abroad, Ghanaians","Diasporia News of Wednesday,  1 June 2022",2022-06-01,Nana Antwi Agyei Brempong II partners Mayor of Markt Murnau to develop Atwima community,"The Mayor of Markt Murnau a Staffelsee, in Bavaria-Germany, Mr. Rolf Beuting, has affirmed his council's commitment to collaborate with Atwima in the Atwima Kwanwoma District, to deepen the partnership between Atwima Murnau.  

He said Atwima and Murnau would work together to develop more projects and figure out strategies and ideas that would impact positively on them

Among key areas he said would be considered were the area of health,  education, exchange programs, firefighting, infrastructural development, and sharing of culture and tradition.

Mayor Beuting was speaking at the Municipal Council at Markt Murnau a Stafelsee, when their sister town Atwima, led by Atwima hene, Nana Antwi Agyei Brempong II, called on them.

The visit was aimed at deliberating on how best the two cities could work together to bring rapid development to their communities and also letting each other know about the developmental projects that were already in place.

The visit was also to enable the team from Atwima witness the famous Oberammergau Passion Play of the Passion of Jesus,  a special play shown every 10 years, which seeks to convey the message of passion, death, and resurrection of Jesus Christ.

The play was in appreciation to God for healing Bavaria and Swabia from an Infectious disease that struck them in 1631

The first visit was in 2019 when Nana Antwi Brempong and Mr. Beuting signed a sister-partnership agreement between the two towns, which was characterized by a cultural festival.

Mr Beuting further noted that the COVID-19 Pandemic and the recent war between Ukraine and Russia has brought some sort of hardship but notwithstanding, they could still do more to ensure mutual benefits and development.

Nana Antwi Brempong also outlined some developmental projects he had embarked on under his leadership as the Atwima hene.

He mentioned the recent construction of a Health facility to be used as a maternal health center to help curb maternal mortality rates, an Information Communication and Technology (ICT) center for school children, and a market for the community to improve the livelihoods of the people, particularly women.

He also mentioned the creation of a website to showcase all activities of Atwima for their friends in Murnau to follow, the commissioning of a fire station in the community, and the installation of a water machine at the Akenten Appiah Minka College of Technology Education.

Nana Brempong also mentioned his Afforestation project christened River Run Indigenous Tree Plantation (RRITP), which is being implemented by ""Ashan Tree"" a nonprofit organization he has established.

Close to 5000 different tree species have been planted along the banks of Rivers and were bodies at Atwima.

This project is being supervised technically by the Forestry Commission  (FC).

According to the Atwima hene, this move was his contribution towards climate change and saving the next generation from its negative effects.

Additionally, he has ordered all households to plant trees in front of their houses and he has taken the lead as leadership by example.

He said he is also constructing a modern Research hub and Hospitality center for the Partnership, called Murnau House.

The Murnau house which is about 80 percent complete would also serve as a special place for their Partnership activities.

In a related development,  the Murmau friends led by Mr. Beuting, the Mayor, took Atwimahene Nana Antwi Brempong and his entourage to a Germeindwerke,  Murnau to see a Solar System Poschger Aliee, to witness how solar is used to transmit power In the area.

They also visited a State of the art hospital called the Berufsgenossenschafliche Unfallklinic in  Murnau where they were received by Dr. Matthias Richer Turtur, an Orthopaedic Thoracic Surgeon, and his team.

Nana Antwi Brempong promised to send young nurses from Atwima to work with the hospital as interns to share experiences and assist them.

They also visited the Company Bauer Maschinen und Technologie at Weiheim in Oberbayern  which produces water with a State of the Arts Technology and the
 Barbara Kronner Scholaden Manufaktur.

Others were the James Loeb Elementary School and the Emmanuel Von Seidl Elementary School.

The Atwima team was also taken to the Staffelsee Lake and the museum in the Castle of Murnau.

The team also visited the Fire station. The Murnau council however donated a Fire Van to Atwima.

This is to help the new Fire Station at Atwima fight fire outbreaks effectively.  

The Fire Bridge Murnau took the Atwima team through ways of rescuing accident victims in vehicles.



"
5,"Abroad, Ghanaians","Diasporia News of Wednesday,  1 June 2022",2022-06-01,Queen Elizabeth recognises Ghanaian volunteer with Commonwealth Points of Light Award,"Queen Elizabeth II of the United Kingdom and Head of the Commonwealth, has recognised Mr Eric Asamoah Awuah, representing Ghana, as the 221st Commonwealth Point of Light.

A statement issued by the British High Commission in Accra, copied to the Ghana News Agency said the award was in honour of Mr Awuah for his exceptional voluntary service engaging thousands of school pupils in debating and critical thinking.

It said Mr Awuah, aged 32, is a debate and communications coach who created ‘Speech Forces’, an organisation which had engaged over 30,000 school pupils in Ghana, Nigeria and other African countries in critical thinking and public speaking programmes.

It said Mr Awuah set up the organisation in 2014 with the aim of empowering young people to better express themselves and to support their personal development alongside their studies at school.

The statement said the initiative hosts major international debate events, such as its flagship Accra Open, and since 2017 has managed the Ghana National Debate Team, training selected high school students from all over Ghana to participate in events including the World Schools Debate Championship.

It said as part of the legacy of the Commonwealth Heads of Government Meeting in London 2018, The Queen - as Head of the Commonwealth - was thanking inspirational volunteers across the 54 Commonwealth nations for the difference they are making in their communities and beyond, by recognising one volunteer from each Commonwealth country every week.

It said by sharing these stories of service, the Commonwealth Points of Light awards celebrate inspirational acts of volunteering across the Commonwealth and help inspire others to make their own contribution to tackling some of the greatest social challenges of our time.

Mr Awuah said: “I am honoured to be this year’s recipient of the Points of Light Award in Ghana.

""Our work at 'Speech Forces' - of which I am privileged to lead - empowers young people of all backgrounds to think critically on issues, appreciate differences in perspectives in the quest to developing thoughtful leaders and active citizens in Africa.



""I receive this recognition on behalf of all the volunteers, sponsors and curious young minds who have kept the mission moving.

""My sincere appreciation to The Queen and the British High Commission of Ghana for recognizing our efforts.”

Madam Harriet Thompson, the British High Commissioner to Ghana, said: “The Points of Light award is given to the truly inspirational working amongst us on projects that impact our communities; so often these people silently do exceptional things and today we have been able to celebrate them properly"".

“It was my honour and delight to award Eric, the founder of Speech Forces, the 221st Commonwealth Point of Light award on behalf of The Queen.

""Their work to support young people across West Africa to feel able really to express themselves has changed lives as these same young people go on to further education, internships and careers feeling empowered and confident.”

The statement said the Commonwealth was a diverse community of 54 nations, that work together to promote prosperity, democracy and peace.

It said the Heads of Government meeting brought together leaders from all the 54 Member countries to reaffirm common values, address shared global challenges and agree how to work to create a better future for all citizens, especially young people.

It said Voluntary service was a vital part of this agenda, which was why The Queen had chosen to recognise outstanding volunteers across the Commonwealth in this special way.

The Points of Light awards recognise outstanding volunteers every day of the week – people whose service is making a difference in their communities and whose story can inspire others to creative innovative solutions to social challenges in their own communities and beyond."
6,"Abroad, Ghanaians","Diasporia News of Tuesday, 31 May 2022",2022-05-31,Samuel Okudzeto Ablakwa addresses NDC Holland chapter town-hall meeting,"Theme: Ghana’s Hung Parliament and the role of the Minority

NDC Holland Chapter held a mini-Town Hall Meeting in Amsterdam on May 28, 2022. The main guest speaker was Honourable Samuel Okudzeto Ablakwa, a Member of Parliament for North Tongu in the Volta Region of Ghana. Other invited guests were Honourable Alex Segbefia, the NDC Director of International Relations, and his deputy Dr Karl-Mark Arhin. 

Honourable Alex Segbefia was unable to attend the event as he was otherwise engaged. More than 50 NDC members from around the world attended this Town Hall Meeting via Zoom while members who gathered at the Town Hall in Amsterdam numbered 75.

NDC Holland Chairman Fred Morgan and his Secretary Mubaraq Huseini were the moderators of the event. Our first speaker was Dr Karl-Mark Arhin who spoke about the important role played by the Diaspora since the establishment of the National Democratic Congress some 30 years ago. 

He reiterated the need for the Diaspora to continue to support the party in their homeland as they have done in the past. He also said that they must be vigilant in case the Election Commission intends to roll out ROPA in the 2024 general elections. 

Dr Arhin indicated that EC might replace the Ghana Card with the Voters' Card. He stressed that the intention of EC to do so is a devilish plan because allegedly, the National Identification Authority is denying some areas in Ghana to register for the Ghana Card. And most of these areas are where the NDC has its stronghold. 

For this reason, the party headquarters has directed all branch executives to encourage their members between the ages of 16 and 25 to register for their Ghana Card. He also emphasised that the 2024 general election is going to be ""boot for boot"" as stated by His Excellency, incoming Flagbearer John Dramani Mahama. 

By this, he meant that NDC will protect the ballot boxes at polling stations during the 2024 general elections and will also be vigilant during the compilation and transmission of the results.

The guest of honour was in Tamale to mark the 10th anniversary of the death of our former president, Professor John Evans Atta Mills. He spoke to the gathering on Zoom on the topic of “Ghana's Hung Parliament and the Role of the Minority”.

Honourable Samuel Okudzeto Ablakwa commended the NDC members in the Diaspora and admitted that he has always had great admiration for the NDC in the Netherlands and assured the Chairman that he would visit them if they would invite him.

Honourable Ablakwa clarified that there is no such thing as a majority in the 8th Ghanaian Parliament. The parliament consists of 137 MPs from the NDC side and 137 MPs from the NPP side. However, there is an independent MP who decided to vote to support NPP, but he is not an NPP member. 

And if that independent MP wanted to cross the carpet to join the NPP and give it to the majority, then he should give up his seat and seek by-election to contest on the ticket of NPP. But as long as he is an independent MP, there is no majority party in parliament.

He commended the NDC for its role in the passage of the 1992 Constitution, the longest standing constitution that has made our stable democracy possible over the past 30 years. He expressed sadness over the brutal killings of party supporters in Techiman South and other places during the 2020 general elections, saying Ghana is being ruled by a callous president who does not care about the needs of Ghanaians. 

He said the President does not care whether the people of SALL are represented or not. He stressed that they have been on the side opposing the passage of the E-Levy and that is why they are going to court to challenge this odious and oppressive tax imposed on Ghanaians. 

Although they did not win the injunction to stop the E-Levy, the Supreme Court admonished GRA to keep all records of the amounts collected while the case is in court. He did not mince words, calling the government led by President Akufo-Addo the most corrupt government in Ghana's history. 

To support his arguments, Honourable Ablakwa mentioned the Oslo Chancellery scandal he uncovered; exposing the president's lavish foreign trips where he rented private jets for $18,000 an hour, and the Ghc242 million earmarked in the 2022 budget for the collection of the E-Levy which would have gone to an unknown company. 

He also said that they have put strong pressure on the government to account for the Covid-19 funds for which the Speaker of the House has called on his Finance Minister to account for the Covid-19 Fud. He also revealed that the President has appointed 337 non-political staff in the Office of the President, including a Church Relations Manager, a Diaspora Church Manager, and a Diaspora Youth Ambassador. 

Honourable believes these appointees are needless and a waste of taxpayers’ money. After taking credit for not wasting money in appointing Deputy Regional Ministers, President Akufo-Addo made a U-turn and appointed Special Assistants to Regional Ministers, to the chagrin of Ghanaians.

On the Achimota Forest saga, the Honourable Member opined that the Owoo Family does not exist anywhere. The name was created by the NPP under ex-President JA Kufuor - the NPP under President Nana Akufo-Addo wants to loot, divide and share the land. It is therefore not surprising that the late Kwadwo Owusu Sekyere had various plots of land in his will. 

He also assured the NDC Holland Chapter members and all NDC members that they will not put to rest the security breaches with regard to Madam Evelyn Aidoo (aka Serwaa Broni) case. They believe the President abused his office by using the State’s Security apparatus to jeopardise the lady’s life. 

The case of Ms Evelyn Aidoo speaks very bad about the President among the international community the President gave easy access to her onboard the President Jet and her unprotected contact with the lady is much to be worried about. And although they do not have the majority to remove the President, they have the numbers to start an impeachment process against the President.

In conclusion, Samuel Okudzeto Ablakwa expressed concern about the corruption and state capture institutionalised under President Akufo-Addo. He said that the skyrocketing inflation of almost 26% and the sharp depreciation of the Ghanaian Cedi against foreign currencies were also worrisome. He pointed out that Ghana is moving in the wrong direction and that only the NDC can save the country from a deep fall.

View his Timepath below:

"
7,"Abroad, Ghanaians","Diasporia News of Tuesday, 31 May 2022",2022-05-31,Kingsley Adumattah Agyapong  wins NPP-UK 2022 Chairmanship election,"The recent UK elections held on the 22nd of May 2022 if anything at all threw up some surprises. The will to rise to leadership by many of the aspirants who
campaigned from as early as October 2021.

The victorious candidate on the night, however, was Mr. Kingsley Adumattah Agyapong, seen as a grassroots man, one who responds to his messages
and calls, and one who will come round to have a toast with you in the morning. He is seen by many as a people person. 

Throughout the campaign, he was seen as the unifier and one who cares about the
welfare of the people. On the election night, the people made their choice and chose the reformer, unifier, and the welfare-oriented candidate in the
person of Mr. Kingsley Adumattah Agyapong, highlighting the importance of welfare to members.

Some of his key visions are;

* To enhance the NPP UK’s influence in the diaspora and in Ghana through effective advocacy and professional networking groups.

* To expand the BEC by co-opting Chapter Chairpersons.

* To rationalise dues payments across all Chapters.

* To improve Branch and Chapter relationships through regular Chapter visitations and support.

* To set up a business management team to drive the Branch’s investment portfolio.

* To introduce decentralised bi-monthly General Branch meetings.

* To unify the Branch, foster positive relationships, and manage the recommendation of NPP government Diaspora appointments from the UK

During his victory speech, Mr. Kingsley Adumattah Agyapong while recognising that hard work pays, assured members that he will be inclusive in his administration. See the full speech below;

Former Chairmen, Council of Elders, Patriots, loved ones, and well-wishers; Kukurudu! Kukurudu!! Kuukuurudu!!!

I’m humbled tonight by the love and confidence shown in me. This is a testament that hard work pays, oh yes hard work pays!

Throughout this campaign, I have called many of you. I have called you on phones, knocked on doors, and for some through social media messages. I had no doubt you will respond, and tonight is a true testament!

Thank you for answering the call to walk with me as your next NPP UK Branch Chairman. I am honoured and privileged to be in this position.

This win is our win! This win is your win! This win is a win to transform NPP UK for the next four years.

While this VICTORY is fresh and sweet on our minds, let us remember that the next 4 years are going to be rough, tough, and bumpy! We will all travel this journey together.

In the next coming days I will be calling on you to support this administration in different capacities, please do heed the call, as you answered my call throughout this campaign.

We need to break the 8! We need to break the 8!! We need to break the 8!!!

NPP UK will do whatever it takes to contribute to this fantastic opportunity for Ghana.

We need to rebuild what has been broken! And we will do it together. I couldn’t have won this without the many who dedicated their time, money, intellect, and themselves for service.

From Aberdeen to Telford, I say a big thank you to you all. For a fantastic job done. My thank you will not end here but will continue throughout this administration. 

Special thank you to; my beautiful wife and the four boys.

Kwaku Bimpeh, Michael Nartey, Vivian Foss, Freda Wayoe, Daakyehemaa, Bismark, Kwabena Andrews.

NPP won tonight and Ghana won tonight.

When the sun rises tomorrow, then see that as a sign of my many thank you to you all.

May the good Lord Bless you all and keep you safe.

Kukurudu! Kukurudu!! Kukurudu!!!

Thank you! Thank you!

God bless NPP! God bless our government. God bless our homeland!"
8,"Abroad, Ghanaians","Diasporia News of Monday, 30 May 2022",2022-05-30,My wife deliberately committed an offence to have me deported from UK - Man claims,"Ghanaian retiree Richmond Quartey has revealed that his wife committed an offence in the UK to prove that he had no residence permit and he was deported soon after. 

In a chat on SVTV Africa, Mr. Quartey mentioned that his ex-wife gave him pressure to marry her because he had a government job and a house soon to be his. However, he could not agree to the marriage because he did not have a residence permit. 

“She asked for my card, drove to a nearby police station, and parked at a no parking area. The police came and asked for ID, but she gave them mine instead. It was deliberate.”

""Two years later, I was deported to Ghana and that was in 2009, but I had two boys with her. They were about 2 and 3 years old when I was deported,” he told DJ Nyaami. 

Mr Quartey added that his ex-wife has refused to allow him to contact his sons since 2010. According to him, she came to Ghana in 2010. That was the last time he saw them.

“I think she came back hoping to get back together with me, but I was angry to take her back even though I saw the kids. I could not get in contact with them again. She has blocked all means to contact them.

All I want is to find my children, Joseph and Emmanuel Quartey. They were born in 1992 and 1993 in the UK.”

Kindly contact SVTV Africa if you have any information."
9,"Abroad, Ghanaians","Diasporia News of Sunday, 29 May 2022",2022-05-29,NPP Germany branch elects new executive officers,"There was euphoria in Frankfurt, the location of the European Central Bank (ECB) on Saturday, May 28, 2022, as the election results were announced.

Members of NPP Germany Branch met at the New Covenant Assemblies of God Church in the Schlitzer Strasse 4, 60386 Frankfurt for a conference to elect new executive officers.

 The hosts, NPP Frankfurt Chapter had magnificently decorated and prepared the venue three (3) days ahead of the conference.

After the normal inspiring addresses and formalities, voting began promptly at 10 o'clock a.m. Figures showed an increase in Voter Turnout at the Branch Election on May 28th as compared with the figures four years ago.

The branch is proud of all our members who travelled from far and near to Frankfurt to have their voices heard on the election day.

After counting of ballot sheets of a successful, free, and fair elections the following persons were elected to lead NPP Germany Branch for the next four
(4) years.

1.	Dr. Felix Yamoah — Chairman
2.	Mr. Francis Brenya Benson — 1st Vice-chairman
3.	Mr. Akwasi Opoku Edusei — Secretary
4.	Mr. Henry Reynolds Nana Benyin Enninful — Organiser
5.	Mr. Kobina Ewusi-Saah — Treasurer
6.	Mrs. Mary Ahenkan — Women's Organiser
7.	Mrs. Ruth Lindenberger — Youth Organiser
8.	Mr. Faharideen Mohammed Awal — Nasara Coordinator

The swear-in ceremony of the newly elected officers was performed by Hon. Alhassan Yakubu Tali a Past Branch Chairman and current Deputy Managing Director of Agriculture Development Bank (ADB).

 Observers from Ghana who attended the elections included Frederick Abban, Director IT, Youth Employment Agency (YEA) and Richard Mensah, Constituency Executive.

In his acceptance speech Chairman, Dr. Felix Yamoah thanked all Branch members for the trust and support in electing him and all the newly elected officers. 

He promised to serve the Branch in truth and in faith to enable the elephant party in Ghana to “break the eight.”"
