,Date,Title,Information
0,"Diasporia News of Monday,  2 May 2022","Black people must worship whites, they are  gods - UK-based Ghanaian","UK-based Ghanaian, CK Annan has stated that Africans must worship white people because of how they related to black refugees who migrated from Libya to Italy. According to him, whites are ‘gods’ who need to be worshipped. 

In a chat on SVTV Africa, Mr. Annan mentioned that he sees white people as ‘gods’ because “the devil you know is better the angel you don’t know.” Mr. Annan indicated that they migrated from Libya in 1988 with no one to host him in Italy.

“If I see a white person on my way to church, I’ll go back home because I have seen Jesus. You will never get everything perfect in life, and we’ve heard a lot about them, but they care.

""They listened to us, accepted us, and gave us a place to stay. Later in 1990, they gave us a permit to stay,” he revealed.

Mr. Annan further lauded Italians as the best people in Europe. According to him, people pay large sums of money for permits, but they never get them.

“However, it is difficult to get certain jobs in Italy as a black person. If a position is vacant, they will wait till they find a white Italian. That’s why I moved my family to the UK in 2014,” he added. 

The father of five also shared his journey in the UK and how satisfying it has been living in England."
0,"Diasporia News of Monday,  2 May 2022",I built a 10-bedroom house in Ghana within three years - Israel-based Ghanaian lady,"Israel-based Ghanaian single mother, Kaakyire Kusiwaa has disclosed that she has put up a 10-bedroom house in Ghana with only finishing touches to go. 

In a chat on Daily Hustle Worldwide, Kusiwaa indicated that she began her journey from South Africa before settling in Israel. According to her, despite her little success in SA, she decided to migrate for better job opportunities.

Speaking on documentation for migrants, Kusiwaa mentioned that Israeli immigration gives work permits to anyone who seeks refuge in the country. However, the immigration can scrap off the work permit anytime without prior notice. 

As a result, Madam Kusiwaa planned to work and build a home for herself and her children before she moves back to Ghana.

“If you are lucky, you can stay for six years before the permit is terminated. So I bought land for GHs20k after three months of working. It’s been three years, and I have built and roofed a ten-bedroom in Ghana.

""I do not want to live a flashy life here because you can’t go home and come back again. If they cancel my permit, I know I have a home to go to,” Kusiwaa said. 

The mother of four added that they do not rely on the work permit because it is not secure. Kusiwaa mentioned that there are many well-paying jobs in Israel. However, most of them are menial."
0,"Diasporia News of Sunday,  1 May 2022",Christable Dadzie tells story behind Ahaspora on Diaspora Link,"On this episode of Diaspora Link, Diallo Sumbry sits with CEO of Ahaspora, Christabel Dadzie, as she explains the origin of the name Ahaspora, a nickname given to her by her mom. 

Watch as she details the story behind  Ahaspora which is a combination of ""Aha"" literally translated to mean  ""Here"" in the Akan language and ""spora"" which is the stem of Diaspora and many interesting facts about her journey as a diaspora.

She also tells Diallo her reason for coming to Africa.

"
0,"Diasporia News of Friday, 29 April 2022","I’ve not been in Ghana for 30 years, I can’t go back home - Malaysia based Ghanaian","Ali Ibrahim is a Ghanaian living in Malaysia for three decades without a residence permit or documents to travel outside the Asian country. 

In a chat on ‘Daily Hustle Worldwide’ on SVTV Africa, Ali indicated that the immigration laws are so tight that foreign nationals find it tough to go back to their home countries, especially blacks. 

“No black person here has a residence permit. Even if you marry a Malaysian woman, you won’t get it. So we avoid immigration. For the past 30 years, I haven’t been to Ghana because I won’t be able to come back here."" 

The Ghana embassy has tried many times but to no avail. The situation is very different, even if you have the money to travel out,” he told DJ Nyaami. 

According to Ali, Malaysian immigration only gives residence permits to foreign nationals from neighboring countries. 

Speaking on how Malaysians relate to blacks, Mr. Ibrahim disclosed that “in terms of work, an Indonesian or Indian will get 160, but I will get 130 for the same job.”

Mr. Ali disclosed that it is more difficult for them to document blacks because of some Nigerians.

""Blacks in Malaysia do not have a good name because of what the Nigerians here do. They scam people a lot, so the Malaysians do not like us,” he added."
0,"Diasporia News of Thursday, 28 April 2022","NPP Deputy Secretary in China resigns, joins NDC","A member of the New Patriotic Party (NPP) branch in China, Dr Ohene Poku has resigned to join the main opposition National Democratic Congress (NDC).

Dr Opoku was the deputy Secretary of the NPP China branch.

Dr. Opoku made his decision public by announcing it on his Facebook page.



"
0,"Diasporia News of Thursday, 28 April 2022",Traditional naming ceremony held for 49 diasporans,"A group of 49 diasporans consisting of 47 women and two men underwent a traditional naming ceremony at Iture in Elmina on April 11. The naming ceremony is the brainchild of Black American tour operator Rashad McCrorey and coordinated by the people in the village of Iture.

The Ceremony

Issued by the elders of Iture and members of the Royal Family, the first names are chosen based on the day the individuals were born. The sex of the individuals and their birth order are factors considered when picking a surname. 

""For example, I am a third born male, born on a Friday, so my name is Kofi Mensah”, he told journalist Ella Okunmwendia. The ceremony started at the One Africa Health Resort, a resort built on an enstooled land in Iture by the former Safohen. 

In attendance were the King Iturehen, the Ebusuapanyin, the Queen Mother, the family elders, and high ranking members of the Royal Family. The ceremony kicked off with a discourse between the participants and officials before the pouring of libation. 

At the naming ceremony, the partakers received a cup of water and alcohol each, which symbolically represents good versus evil. They were then given their names and presented with a certificate. After the naming, the participants were marked with white clay to signify their victorious return. They also had neem leaves placed on their necks, symbolizing good health and luck. 

A New Journey

In a chat with journalist Ella Okunmwendia, Rashad McCrorey explained the importance of the traditional naming ceremony. He said, ""many Black Americans and Diasporans only know their European history, which begin with Slavery."" He described the naming ceremony as an intricate part of the learning process. ""Understanding that similar to astrology and horoscopes, the names based on day, number and quality also has influence on your life"", he added. 

For many Diasporans, the naming ceremony conveys a sense of belonging. This is due to the involvement of the entire village, the royal family, and the sub chiefs. ""Many have cried, smiled, and described the naming ceremony as the high point of their experience"", Rashad McCrorey told Ella Okunmwendia. Usually done after a visit to the slave dungeon, the naming ceremony  brings balance and a tilt toward the positive. 

About Rashad McCrorey 

Rashad McCrorey is an African-American Entrepreneur, Investor and Author. McCrorey is the owner of Africa Cross-Culture, a tourism company specializing in trips to Egypt, Ghana, Kenya, Nigeria, Rwanda and Uganda. McCrorey has taken approximately 300 individuals to the continent of Africa since 2017. 

McCrorey arrived in Ghana in February 2020 with one of his tour groups for Ghana’s 6th March Independence Day festivities. Once the Coronavirus pandemic reached the United States, he chose to stay in Ghana. Rashad McCrorey has been holding traditional naming ceremonies since 2020. 

Initially starting the program with four persons, over 100 individuals of African descent have taken part in his naming ceremony. The participants ranged from African Americans, Carribeans, and persons of Latino descent. A notable participant is the travel blogger and television host, World Wide Nate."
0,"Diasporia News of Thursday, 28 April 2022",You will go hungry if you work one job in the UK - UK-based Ghanaian says taxes are too much,"UK-based Ghanaian, Italian Danny Lampo has stated that menial job holders with one job in the UK may go hungry unless they learn some skills on the side. 

In a chat on ‘Daily Hustle Worldwide,’ the financial analyst cum musician suggested that Ghanaians who wish to come to the UK must look for better job opportunities if they want a comfortable life. 

“Life in the UK is too expensive. You pay for everything. You will get the job, but at the end of the month, they will take most of it back. If you are not smart, you will not make money in this country.”

""You need to be smart, or you will live hand to mouth. You can’t stick to one thing. You will go hungry. Most people rent a room and share a bathroom and kitchen, but it’s not comfortable. It is better to get a well-paying job or a second job,” Danny told DJ Nyaami. 

Danny added that there are many job opportunities for nurses and care assistants in the National Health Service UK. 

Known in real life as Daniel Amponsah, the Afrobeats artiste mentioned that he does not want music as a job. 

“I do music on the side. It is a passion, and I don’t see it as a job. If I take it as a job, it becomes stressful. Music is a way for me to escape and relax,” he added."
0,"Diasporia News of Thursday, 28 April 2022",Ghanaians support ‘senseless’ songs - US-based Ghanaian artiste,"US-based Ghanaian artiste, Mr. Ampossible has stated that some Ghanaian music lovers support ‘senseless’ songs more than the ‘good’ songs. 

Speaking on Daily Hustle Worldwide, the Afrobeats artiste indicated that he released ‘nkwasia nnwom’ to “address the type of songs Ghanaians support nowadays.”

“Not to say all the artistes produce ‘nkwasia nwom’ (literally translated as stupid’ but it's an ongoing conversation. We think such songs blow up quickly, but ‘good’ songs take time to reach the people,” he told DJ Nyaami. 

Mr. Ampossible referred to AY Poyoo’s hit single ‘Goat’ as a ‘senseless song.’ According to him, most artistes are aware that the songs are not ‘good’ songs, but they release them anyway. 

“As musicians, we know when we write ‘nkwasia nnwom,’ but that's what the people like. The market wants it, and we have to make money. So my song is not about the artistes but the consumers who listen to such songs,” he added. 

Mr. Ampossible is an award-winning artiste who has gained several nominations in the Ghana Music Awards and Ghana Music Awards, USA. He has over 30 songs to his credit."
0,"Diasporia News of Wednesday, 27 April 2022","The Methodist Church Ghana, North America Mission Diocese holds synod at Washington DC","The Sixth Annual Synod of the North America Mission Diocese (NAMD) of the Methodist Church Ghana (MCG) was convened from Friday, April 22 to Sunday, April 24, 2022, at the Ebenezer Methodist Church, College Park, Maryland. It was hosted by the Washington DC circuit. 

The synod met in both its ministerial and representative sessions, with a total attendance of over a hundred delegates and observers from the four circuits. Representatives were from Newark, NJ; Atlanta; Toronto, (Canada); and Washington DC circuits.

Presiding over the deliberations was the Very Rev. Prof. Emmanuel Y. Lartey, Bishop’s Deputy; assisted by Bro. Sekyere Mensah, Lay Chairman; and the Very Rev. Joseph Owusu Atuahene, Synod Secretary; all three, executives of the NAMD. The theme for the synod was “Living By Faith in Jesus Christ in North America” (Gal. 2:20-24).

The 6th Synod was extraordinary in the sense that it was the first in-person national gathering of NAMD since its meeting in Texas in 2019, prior to the outbreak of the COVID-19 pandemic. 

Prof. Lartey, in his keynote address, thanked God for the preservation of NAMD and reminded the congregation that God had purposefully designed that we be kept alive for missionary work, as “salt and light” in North America. Bishop’s Deputy challenged Synod to be united in mission and service, especially, as new initiatives have been launched in Los Angeles, California, and Rhode Island. 

Speaking on the Synod theme, Professor Lartey challenged Ghanaian Methodists to seek revival and growth, demonstrating their faith in service to society. 

His Excellency, Mr. Ernest Yaw Amporful, Head of Chancery of the Embassy of Ghana at Washing DC, USA, congratulated NAMD for the Synod. Mr. Amporful represented H.E. Hajia Alima Mahama, the Ambassador of Ghana to the USA. He also commended the church for its continued support of the spiritual, psychological, financial, and material needs of Ghanaians in the USA and Canada. He implored all Ghanaians to support the National Cathedral project in Ghana and invest in various resources in Ghana.

Bishop Dr. Evans Glover from the Council of Ghanaian Pastors and Churches, USA talked about the importance of being transformed. That is, “Metamorphosed” to achieve spiritual and numerical growth of the Christian Community in North America. He, also, stressed the need to support the National Cathedral project in Ghana. Other dignitaries present at the formal opening of synod were three queen mothers namely: Obaahema Manzeb II, Queenmother of Edele Zuazo Lowe Axim; Obaahemaa Saakoa III, Gyangyaadze Odikro Ohemaa; and Nana Abaefi I, Apagyahene Queen mother of Gomoa East traditional area.

There were several other important highlights of this Synod, including

a. Unanimously approving a resolution requesting the Conference of the Methodist Church Ghana to grant the North America Mission diocese a full diocesan status with effect from October 1, 2022. 

b. Approving the process for Commendation and Commissioning of 9 of its members: 7 men and two women for the ordained ministry within NAMD.

c. Celebrating the continuing success of the ministry of the nine ministers (probationers) who were commissioned last year, and synod approved that they should be moved to the next level in their probation.

Finally, Synod elected Brother Dr. Alex Adu Osei to be the next Lay Chairman. Brother Adu Osei is the current circuit Steward of the Washington DC circuit."
0,"Diasporia News of Tuesday, 26 April 2022",I was jailed for 40 days over my land - Japan-based Ghanaian,"Japan-based Ghanaian Mr. Kwabena Yeboah has revealed that he was sentenced to prison for 40 days over a piece of land registered in his name. 

Mr. Yeboah indicated in an interview with DJ Nyaami that there was an abuse of power in his case. 

According to him, someone claimed his piece of land and took the case to court. However, the judge charged him with contempt of court and sentenced him to 40 days in jail. 

“I bought the land, registered it, and got a building permit. But someone claimed it and suggested that we research it. Immediately the results came, he took the case to Madina court, knowing the land was not his. He lost the case in court,” he said. 

Mr. Yeboah disclosed that the plaintiff was not satisfied and later took it to a high court. 

“The high court charge sentenced me to 40 days for contempt of court. When I got back, the case was closed. The house was roofed and fenced. I heard that his father was the minister of justice at the time, so he had the land title by the time I got back from prison,” he said on Daily Hustle Worldwide. 

Kwabena Yeboah mentioned that he had returned from Japan to settle with his Japanese wife and kids. However, he was discouraged.

Speaking about investing in businesses in Ghana, Mr. Yeboah mentioned that he set up a few, but his employees mismanaged them."
